loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,corrAns,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,instr1.started,instr1.stopped,keyResp1.keys,keyResp1.rt,keyResp1.started,keyResp1.stopped,l11ex.started,l11ex.stopped,l21ex.started,l21ex.stopped,t11ex.started,t11ex.stopped,tTex.started,tTex.stopped,fix1.started,fix1.stopped,trial1Fix.started,trial1Fix.stopped,trial1L11.started,trial1L11.stopped,trial1L12.started,trial1L12.stopped,trial1L21.started,trial1L21.stopped,trial1L22.started,trial1L22.stopped,trial1T11.started,trial1T11.stopped,trial1T12.started,trial1T12.stopped,trial1TT.started,trial1TT.stopped,trial1Resp.keys,trial1Resp.corr,trial1Resp.started,trial1Resp.stopped,breakText1.started,breakText1.stopped,breakResp1.keys,breakResp1.rt,breakResp1.started,breakResp1.stopped,fix2.started,fix2.stopped,trial2Fix.started,trial2Fix.stopped,trial2L11.started,trial2L11.stopped,trial2L12.started,trial2L12.stopped,trial2L21.started,trial2L21.stopped,trial2L22.started,trial2L22.stopped,trial2T11.started,trial2T11.stopped,trial2T12.started,trial2T12.stopped,trial2TT.started,trial2TT.stopped,trial2Resp.keys,trial2Resp.corr,trial2Resp.started,trial2Resp.stopped,breakText2.started,breakText2.stopped,breakResp2.keys,breakResp2.rt,breakResp2.started,breakResp2.stopped,fix3.started,fix3.stopped,trial3Fix.started,trial3Fix.stopped,Trial3L11.started,Trial3L11.stopped,Trial3L12.started,Trial3L12.stopped,Trial3L21.started,Trial3L21.stopped,Trial3L22.started,Trial3L22.stopped,Trial3T11.started,Trial3T11.stopped,Trial3T12.started,Trial3T12.stopped,Trial3TT.started,Trial3TT.stopped,trial3Resp.keys,trial3Resp.corr,trial3Resp.started,trial3Resp.stopped,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,15.846439399989322,None,space,1.1010241999756545,15.846439399989322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,0.0,-0.2,0.2,0.0,0.0,-0.4,-0.2,0.4,0.2,0.0,0.2,None,None,None,0,0,0,0,,,,,,,,,,,,,,,15.846439399989322,None,15.846439399989322,None,15.846439399989322,None,15.846439399989322,None,16.962796099949628,None,21.04420060000848,None,18.054793799994513,21.060966599965468,18.054793799994513,21.060966599965468,18.054793799994513,21.060966599965468,18.054793799994513,21.060966599965468,18.054793799994513,21.060966599965468,18.054793799994513,21.060966599965468,18.054793799994513,21.060966599965468,None,1,18.054793799994513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,-0.2,0.4,0.0,0.2,0.2,None,None,0.0,0.0,-0.2,0.2,0.4,0.2,space,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,24.976647699950263,None,21.98576840001624,24.993405499961227,21.98576840001624,24.993405499961227,21.98576840001624,24.993405499961227,21.98576840001624,24.993405499961227,21.98576840001624,24.993405499961227,21.98576840001624,24.993405499961227,21.98576840001624,24.993405499961227,None,0,21.98576840001624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.2,0.4,-0.2,-0.4,-0.2,0.0,0.0,0.2,0.2,None,None,0.2,-0.2,space,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,28.958739900030196,29.95877569995355,25.978848799946718,28.99216569995042,25.978848799946718,28.99216569995042,25.978848799946718,28.99216569995042,25.978848799946718,28.99216569995042,25.978848799946718,28.99216569995042,25.978848799946718,28.99216569995042,25.978848799946718,28.99216569995042,None,0,25.978848799946718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.2,0.2,0.4,-0.2,0.0,0.2,0.0,0.2,-0.4,-0.2,0.0,0.0,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,32.974395300028846,None,29.978563599986956,32.99112010002136,29.978563599986956,32.99112010002136,29.978563599986956,32.99112010002136,29.978563599986956,32.99112010002136,29.978563599986956,32.99112010002136,29.978563599986956,32.99112010002136,29.978563599986956,32.99112010002136,None,1,29.978563599986956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,-0.2,None,None,-0.4,0.0,0.4,0.2,0.0,0.2,0.2,-0.2,0.0,0.0,space,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,36.95693660003599,37.95677079993766,33.9749407999916,36.990530199953355,33.9749407999916,36.990530199953355,33.9749407999916,36.990530199953355,33.9749407999916,36.990530199953355,33.9749407999916,36.990530199953355,33.9749407999916,36.990530199953355,33.9749407999916,36.990530199953355,None,0,33.9749407999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,-0.4,-0.2,0.4,-0.2,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,40.956000500009395,41.95585769996978,37.97462769993581,40.98936819995288,37.97462769993581,40.98936819995288,37.97462769993581,40.98936819995288,37.97462769993581,40.98936819995288,37.97462769993581,40.98936819995288,37.97462769993581,40.98936819995288,37.97462769993581,40.98936819995288,None,1,37.97462769993581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
None,None,-0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.2,0.0,0.0,-0.2,0.0,space,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,44.95507439994253,45.95585030002985,41.97454490000382,44.98833690001629,41.97454490000382,44.98833690001629,41.97454490000382,44.98833690001629,41.97454490000382,44.98833690001629,41.97454490000382,44.98833690001629,41.97454490000382,44.98833690001629,41.97454490000382,44.98833690001629,None,0,41.97454490000382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.4,-0.2,0.2,0.2,0.0,0.0,0.4,-0.2,None,None,-0.2,0.2,0.4,0.2,space,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,48.9707664999878,None,45.979376400006004,48.98762719996739,45.979376400006004,48.98762719996739,45.979376400006004,48.98762719996739,45.979376400006004,48.98762719996739,45.979376400006004,48.98762719996739,45.979376400006004,48.98762719996739,45.979376400006004,48.98762719996739,None,0,45.979376400006004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,0.2,0.0,0.0,0.0,-0.2,None,None,0.0,0.2,0.4,-0.2,-0.4,0.0,space,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,52.96988300001249,None,49.97406699997373,52.9863522000378,49.97406699997373,52.9863522000378,49.97406699997373,52.9863522000378,49.97406699997373,52.9863522000378,49.97406699997373,52.9863522000378,49.97406699997373,52.9863522000378,49.97406699997373,52.9863522000378,None,0,49.97406699997373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.0,0.0,-0.2,0.2,0.2,-0.4,-0.2,0.4,0.2,0.0,0.2,None,None,None,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,56.95268170000054,57.9518367999699,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,53.9700487999944,56.96907170000486,None,1,53.9700487999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,0.2,-0.4,-0.2,0.4,0.0,0.0,0.2,0.0,0.0,-0.2,0.2,None,None,None,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,60.95106570003554,61.95065140002407,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,57.969948400044814,60.98465130000841,None,1,57.969948400044814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.0,None,None,0.4,-0.2,-0.2,0.2,0.2,0.2,0.4,0.0,-0.4,-0.2,space,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,64.96706209995318,None,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,61.970910600037314,64.98342439997941,None,0,61.970910600037314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,0.2,0.0,0.0,0.0,0.2,None,None,-0.4,-0.2,0.4,-0.2,-0.4,0.0,space,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,68.94902900001034,69.94956989993807,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,65.96736010001041,68.98235519998707,None,0,65.96736010001041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.4,-0.2,0.0,0.2,-0.2,0.2,0.0,0.0,0.0,-0.2,0.4,-0.2,None,None,None,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,72.9649320000317,73.96451159997378,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,69.98340529995039,72.99801919993479,None,1,69.98340529995039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.2,0.4,0.2,0.4,-0.2,0.2,-0.2,-0.4,0.0,None,None,0.2,0.2,space,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,76.96372260001954,77.96364289999474,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,73.98234159999993,76.99700969993137,None,0,73.98234159999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.4,-0.2,0.4,-0.2,0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,None,None,None,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,80.96270839998033,81.9624605999561,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,77.98194690002128,80.99605429999065,None,1,77.98194690002128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,0.2,0.0,0.0,None,None,-0.2,0.2,0.0,0.2,0.4,0.2,-0.2,0.0,space,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,84.96172859997023,85.96143729996402,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,81.97958269994706,84.99502899998333,None,0,81.97958269994706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
None,None,-0.2,0.2,-0.4,-0.2,0.2,0.2,0.0,0.0,0.4,-0.2,0.4,0.0,space,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,88.96074689994566,89.96052840002812,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,85.97843060002197,88.97741349996068,None,0,85.97843060002197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.2,0.4,-0.2,0.2,0.2,0.0,0.0,0.0,-0.2,None,None,-0.2,0.0,space,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,92.95973490003962,93.95945640001446,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,89.97916750004515,92.99316880002152,None,0,89.97916750004515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,0.2,0.0,0.2,0.0,0.0,0.0,-0.2,0.2,0.2,-0.4,-0.2,None,None,None,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,96.958639999968,97.95847880002111,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,93.9768088000128,96.99257899995428,None,1,93.9768088000128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9751513999654,None,space,2.4204212999902666,97.9751513999654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,0.2,-0.4,-0.2,0.4,-0.2,0.0,0.0,-0.2,0.2,None,None,-0.4,0.2,space,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4245483999839,None,104.44017379998695,None,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,101.45921240001917,104.47366989997681,None,0,101.45921240001917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.2,0.4,0.0,-0.2,0.2,0.0,0.0,-0.4,-0.2,0.4,0.2,None,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4225626999978,109.4225050000241,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,105.44196760002524,108.45581049995963,None,1,105.44196760002524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.2,0.2,0.4,-0.2,0.4,0.0,0.2,0.2,None,None,0.0,0.0,0.0,-0.2,space,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.43815669999458,None,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,109.44399229995906,112.4548890000442,None,0,109.44399229995906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
None,None,0.0,0.2,0.4,-0.2,-0.4,-0.2,0.0,0.0,0.2,0.2,0.2,-0.2,space,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.42477669997606,None,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,113.43967029999476,116.43704710004386,None,0,113.43967029999476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.0,0.0,-0.2,0.2,0.4,-0.2,0.0,0.2,0.0,-0.2,-0.4,-0.2,None,None,None,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.41952789993957,121.41926440002862,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,117.43796629994176,120.4529386999784,None,1,117.43796629994176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.2,-0.2,0.4,-0.2,None,None,-0.4,0.0,0.4,0.2,0.0,0.2,0.4,0.0,space,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.41851170000155,125.41828939993866,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,121.43634819996078,124.45197639998514,None,0,121.43634819996078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
0.4,0.0,0.4,0.2,0.0,0.2,0.2,0.2,0.4,-0.2,-0.4,-0.2,None,None,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.41744420002215,129.41730580001604,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,125.43545019999146,128.4507397999987,None,1,125.43545019999146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
-0.2,0.2,None,None,0.4,0.2,0.0,0.2,0.0,0.0,0.2,0.2,-0.2,-0.2,space,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.41672159999143,133.41641710000113,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,129.43577129999176,132.44979019998573,None,0,129.43577129999176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_25_1531,vSearchAlpha2,2020.1.3,60.095792695377874,
